ID;gemeentecode;Voorraadwoningen;Nieuwbouwwoningen;Woningdichtheid;Bedrijven;Restaurants3km
19263;GM0294;12993;42;94;2535;    22.3
19289;GM0295;;;;;
19315;GM0990;;;;;
19341;GM0873;9837;27;107;1715;     9.0
19367;GM0632;21756;173;246;5295;    23.4
19393;GM0466;;;;;
19419;GM1690;10149;96;45;2610;     3.7
19445;GM0880;6803;156;176;1415;    19.8
19471;GM0351;5006;98;137;1190;     4.3
19497;GM0874;6081;50;123;1500;     4.1
19523;GM0875;;;;;
19549;GM0710;;;;;
19575;GM0683;;;;;
19601;GM0479;68025;281;921;12795;    29.5
19627;GM0297;11216;204;141;3090;     9.3
19653;GM0473;9523;30;297;1925;    56.7
19679;GM0707;5588;56;76;1530;     2.1
19705;GM0478;;;;;
19731;GM0050;8340;210;34;2490;     8.2
19757;GM0355;28555;149;589;6240;    42.0
19783;GM0298;;;;;
19809;GM0299;19684;100;213;3315;    15.1
19835;GM0878;;;;;
19861;GM1666;;;;;
19887;GM0732;;;;;
19913;GM0476;;;;;
19939;GM0637;55944;122;1624;8665;    40.3
19965;GM0638;3493;22;165;880;     6.8
19991;GM0056;7883;85;63;1525;     3.9
20017;GM0136;;;;;
20043;GM1892;17237;333;297;4210;     7.5
20069;GM0137;;;;;
20095;GM0879;9408;57;78;2255;     8.7
20121;GM0301;21971;123;536;3640;    32.1
20147;GM1896;8817;81;107;1970;     4.8
20173;GM0192;;;;;
20199;GM0138;;;;;
20225;GM0642;20394;41;1005;3365;    25.2
20251;GM0193;56595;803;509;9905;    51.9
