ID;RegioS;JongerDan5Jaar_4;k_5Tot10Jaar_5;k_10Tot15Jaar_6;k_15Tot20Jaar_7;k_20Tot25Jaar_8;k_25Tot45Jaar_9;k_45Tot65Jaar_10;k_65Tot80Jaar_11;k_80JaarOfOuder_12;ZeerSterkStedelijk_52;SterkStedelijk_53;MatigStedelijk_54;WeinigStedelijk_55;NietStedelijk_56;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;BedrijfsvestigingenTotaal_164;AfstandTotSchoolBasisonderwijs_216;AantalGroteSupermarktenBinnen3Km_223;AantalRestaurantsBinnen3Km_225
5925;GM0357;;;;;;;;;;;;;;;;;;;;
5951;GM0229;;;;;;;;;;;;;;;;;;;;
5977;GM0905;;;;;;;;;;;;;;;;;;;;
6003;GM1903;1184;1075;1253;1600;1227;5098;7956;4719;1454;0;0;3730;5490;16350;     6.0;    10.8;2200;     1.1;     1.7;     7.4
6029;GM0772;10867;11237;10933;12787;19034;69586;56349;27668;10665;107730;81440;26430;12580;940;   189.5;   108.4;20750;     0.6;    20.3;    84.9
6055;GM0230;1376;1497;1470;1622;1210;5345;6159;3395;1033;0;0;3510;13560;6040;     8.8;     9.1;1810;     0.7;     2.9;    10.6
6081;GM0231;;;;;;;;;;;;;;;;;;;;
6107;GM0114;4598;5429;5990;6699;5330;23159;32351;17979;5657;0;8890;32970;24720;40610;    45.7;    47.8;7770;     0.9;     3.7;    10.8
6133;GM0388;921;1011;1029;1024;993;4362;5274;3030;832;0;7360;9870;1040;210;     7.1;     8.5;1740;     0.6;     4.9;    22.2
6159;GM0153;7571;8182;8411;10067;14394;41070;40909;21095;6562;49670;57540;24830;15370;10860;    86.4;    69.4;11320;     0.6;    13.7;    59.8
6185;GM0232;1480;1624;1794;2083;1568;6467;9776;6045;2026;0;900;8250;13560;10150;    11.8;    14.0;2865;     0.8;     4.3;    12.1
6211;GM0233;1251;1325;1569;1814;1481;5534;7723;4549;1547;0;3120;11400;8340;3940;    14.1;    10.9;2440;     0.8;     7.1;    13.8
6237;GM0776;;;;;;;;;;;;;;;;;;;;
6263;GM0777;2229;2529;2649;2499;2116;10459;12487;6700;1864;0;28000;8050;5270;2210;    23.1;    18.4;3525;     0.7;     6.6;    21.1
6289;GM0068;;;;;;;;;;;;;;;;;;;;
6315;GM1722;480;544;585;557;382;1860;2529;1355;379;0;0;0;0;8670;     2.7;     3.6;700;     0.7;     1.5;     2.3
6341;GM0778;;;;;;;;;;;;;;;;;;;;
6367;GM0070;;;;;;;;;;;;;;;;;;;;
6393;GM1921;;;;;;;;;;;;;;;;;;;;
6419;GM1940;2395;2906;3288;3370;2451;10645;15264;8791;2632;0;790;10080;14400;26480;    16.8;    21.9;5620;     0.9;     3.3;     8.2
6445;GM0653;;;;;;;;;;;;;;;;;;;;
6471;GM0115;;;;;;;;;;;;;;;;;;;;
