ID;RegioS;JongerDan5Jaar_4;k_5Tot10Jaar_5;k_10Tot15Jaar_6;k_15Tot20Jaar_7;k_20Tot25Jaar_8;k_25Tot45Jaar_9;k_45Tot65Jaar_10;k_65Tot80Jaar_11;k_80JaarOfOuder_12;ZeerSterkStedelijk_52;SterkStedelijk_53;MatigStedelijk_54;WeinigStedelijk_55;NietStedelijk_56;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;BedrijfsvestigingenTotaal_164;AfstandTotSchoolBasisonderwijs_216;AantalGroteSupermarktenBinnen3Km_223;AantalRestaurantsBinnen3Km_225
10345;GM1916;4022;4169;3946;3866;3188;18030;20655;12370;4701;41560;28610;2410;60;2320;    17.1;    35.5;5900;     0.6;    15.6;    80.4
10371;GM0995;4281;4947;5077;4878;4107;19730;21364;10992;2013;0;35040;19780;15010;7550;    31.0;    33.1;6355;     0.8;     8.7;    27.4
10397;GM0082;;;;;;;;;;;;;;;;;;;;
10423;GM1640;1332;1564;1856;2309;1808;7012;11577;6314;2085;0;0;0;9830;26030;    12.0;    15.3;3100;     1.0;     2.3;     4.8
10449;GM0327;1468;1691;1880;1897;1365;6084;9165;4800;1405;0;9730;8490;7700;3830;    12.9;    12.6;2935;     0.8;     5.4;    13.2
10475;GM0260;;;;;;;;;;;;;;;;;;;;
10501;GM1673;;;;;;;;;;;;;;;;;;;;
10527;GM0806;;;;;;;;;;;;;;;;;;;;
10553;GM0261;;;;;;;;;;;;;;;;;;;;
10579;GM0552;;;;;;;;;;;;;;;;;;;;
10605;GM0807;;;;;;;;;;;;;;;;;;;;
10631;GM0694;;;;;;;;;;;;;;;;;;;;
10657;GM0418;;;;;;;;;;;;;;;;;;;;
10683;GM0733;577;605;722;738;562;2352;3431;1721;426;0;20;60;1320;9740;     3.4;     4.5;1120;     0.7;     2.3;     5.2
10709;GM1705;2093;2654;2947;3083;2093;9900;14173;7454;1975;0;6230;14990;13620;11540;    11.8;    19.3;3600;     0.8;     3.9;     8.0
10735;GM0553;1101;1228;1299;1343;1136;5006;6638;3741;1254;0;12950;6470;1720;1600;     8.1;    10.1;2065;     0.6;     7.7;    25.5
10761;GM0808;;;;;;;;;;;;;;;;;;;;
10787;GM0140;;;;;;;;;;;;;;;;;;;;
10813;GM0262;1296;1559;2003;2162;1258;5684;10472;6721;2419;0;2450;7200;4810;19120;    11.6;    14.5;3535;     1.1;     2.5;     8.7
10839;GM0329;;;;;;;;;;;;;;;;;;;;
10865;GM0809;1056;1134;1292;1366;1171;5016;7041;3866;1178;0;4020;7670;8210;3230;     9.2;     9.9;2135;     0.5;     5.8;    11.1
10891;GM0330;;;;;;;;;;;;;;;;;;;;
10917;GM0331;734;783;1007;1151;922;3050;4368;1916;464;0;0;40;5250;9100;     4.2;     5.5;1600;     0.8;     0.8;     2.3
10943;GM0024;415;544;570;588;466;1872;3184;1644;449;0;0;0;0;9730;     1.4;     4.3;850;     1.4;     0.5;     2.1
10969;GM0168;971;1170;1336;1430;1073;4583;6906;4005;1073;0;0;5760;9160;7630;     6.9;     9.2;1755;     0.9;     2.5;     7.1
10995;GM0810;;;;;;;;;;;;;;;;;;;;
11021;GM0811;;;;;;;;;;;;;;;;;;;;
11047;GM0332;;;;;;;;;;;;;;;;;;;;
11073;GM0333;;;;;;;;;;;;;;;;;;;;
11099;GM0334;;;;;;;;;;;;;;;;;;;;
11125;GM0933;;;;;;;;;;;;;;;;;;;;
11151;GM0934;;;;;;;;;;;;;;;;;;;;
11177;GM1671;;;;;;;;;;;;;;;;;;;;
11203;GM0263;1250;1293;1468;1543;1217;5466;7606;3502;1005;0;0;960;10770;12620;     9.3;     9.9;3135;     0.8;     2.0;     5.1
11229;GM1641;884;862;1081;1348;1052;4565;7892;4607;1406;0;0;0;7480;16220;     6.5;    10.4;2110;     0.8;     1.4;     5.9
11255;GM0555;;;;;;;;;;;;;;;;;;;;
11281;GM0556;1671;1729;1743;1815;1647;7697;8827;5797;1592;3490;23060;5220;650;100;     7.4;    14.6;2125;     0.6;     7.0;    21.5
11307;GM0935;4284;4238;4439;7959;15786;29028;31558;18925;6506;46530;48710;15750;8410;3320;    76.0;    54.7;9330;     0.6;    12.5;   114.8
11333;GM1665;;;;;;;;;;;;;;;;;;;;
11359;GM0812;;;;;;;;;;;;;;;;;;;;
11385;GM0936;;;;;;;;;;;;;;;;;;;;
11411;GM0686;;;;;;;;;;;;;;;;;;;;
11437;GM0169;;;;;;;;;;;;;;;;;;;;
11463;GM1663;447;486;574;577;423;1981;3176;1889;505;0;0;0;0;10060;     2.4;     4.7;985;     1.1;     1.0;     2.9
11489;GM0025;494;545;630;734;555;2270;3320;1517;423;0;0;0;3590;6900;     2.4;     4.3;970;     1.1;     1.4;     3.2
11515;GM0264;;;;;;;;;;;;;;;;;;;;
11541;GM0420;2200;2449;2799;2887;2310;9643;13271;7233;1688;0;0;4470;17970;22040;    18.1;    18.5;4680;     0.7;     2.2;     7.5
11567;GM0993;;;;;;;;;;;;;;;;;;;;
11593;GM0938;718;823;992;1078;860;3498;6141;3696;1233;0;0;870;10420;7750;     3.8;     8.4;1500;     0.8;     2.9;    10.9
11619;GM1948;3939;4220;4590;5255;4130;18113;24026;12079;3796;0;13640;27200;18890;20410;    46.3;    33.6;8105;     0.8;     4.8;    15.5
11645;GM0941;;;;;;;;;;;;;;;;;;;;
11671;GM0083;;;;;;;;;;;;;;;;;;;;
11697;GM1908;;;;;;;;;;;;;;;;;;;;
11723;GM1987;;;;;;;;;;;;;;;;;;;;
11749;GM0119;1646;1936;2149;2095;1641;7995;9500;4911;1537;0;10520;9610;7200;6080;    19.1;    14.8;2655;     1.0;     5.3;    19.6
11775;GM0687;2347;2614;2762;3155;2641;10946;13382;7806;2650;12220;15580;8570;7460;4480;    21.2;    21.9;3475;     0.7;     7.4;    37.5
11801;GM0559;;;;;;;;;;;;;;;;;;;;
11827;GM1842;1020;1182;1203;1345;1142;4084;5913;2558;891;3330;3310;1790;9080;1830;     6.2;     7.7;1860;     0.7;     7.6;    34.9
11853;GM1731;1401;1603;1938;2229;1543;6388;10534;5813;1723;0;0;2600;7940;22630;    12.1;    14.2;2945;     1.2;     2.1;     4.9
11879;GM1952;2745;3176;3372;3779;2992;12927;19031;10104;2827;0;15620;6230;9910;29180;    18.8;    27.2;4150;     0.9;     4.6;     9.6
11905;GM0688;;;;;;;;;;;;;;;;;;;;
11931;GM1697;;;;;;;;;;;;;;;;;;;;
11957;GM0814;;;;;;;;;;;;;;;;;;;;
11983;GM0815;413;515;640;717;574;2164;3532;1711;565;0;0;0;2550;8280;     3.4;     4.5;1060;     1.0;     2.1;     2.9
12009;GM0265;;;;;;;;;;;;;;;;;;;;
12035;GM1709;1644;1974;2087;2299;1710;7953;11450;6067;1783;0;5120;6060;12150;13640;    21.5;    16.0;3700;     0.7;     1.8;     6.7
12061;GM0816;;;;;;;;;;;;;;;;;;;;
12087;GM1978;;;;;;;;;;;;;;;;;;;;
12113;GM1927;1737;1971;2159;2278;1994;6373;7699;4011;1073;0;0;2520;8230;18540;    10.3;    10.8;2670;     0.7;     1.7;     3.4
12139;GM0562;;;;;;;;;;;;;;;;;;;;
12165;GM1955;1456;1573;1963;2299;1792;6995;11465;6233;1851;0;1090;11500;9210;13830;    16.4;    15.3;2975;     0.9;     3.5;     8.8
12191;GM0335;741;834;965;1001;784;3024;3923;2129;478;0;0;3030;8140;2710;     4.8;     5.6;1435;     0.7;     1.7;     6.8
12217;GM0944;249;322;462;513;322;1236;2619;1593;452;0;0;0;3300;4460;     1.6;     3.5;690;     0.7;     2.5;     7.5
12243;GM0563;;;;;;;;;;;;;;;;;;;;
12269;GM0424;;;;;;;;;;;;;;;;;;;;
12295;GM0565;;;;;;;;;;;;;;;;;;;;
12321;GM0425;;;;;;;;;;;;;;;;;;;;
12347;GM1740;1652;1587;1698;1794;1562;5197;6183;3069;873;0;0;0;12230;11380;    10.0;     8.6;2380;     0.7;     1.6;     3.9
12373;GM0426;;;;;;;;;;;;;;;;;;;;
12399;GM0643;;;;;;;;;;;;;;;;;;;;
12425;GM0946;724;808;863;1021;903;3566;5356;2913;884;0;0;4160;4520;8350;     5.5;     7.2;1860;     0.9;     2.9;     5.6
12451;GM0266;;;;;;;;;;;;;;;;;;;;
12477;GM0304;744;720;885;882;625;2710;3728;1661;442;0;0;0;0;12400;     5.8;     4.8;1520;     0.8;     0.9;     0.5
12503;GM0412;;;;;;;;;;;;;;;;;;;;
12529;GM0356;3239;3244;3245;3544;3194;15870;17963;10031;2096;12990;33970;11660;3490;320;    45.2;    28.3;5200;     0.6;     9.9;    29.3
12555;GM0567;;;;;;;;;;;;;;;;;;;;
12581;GM0817;;;;;;;;;;;;;;;;;;;;
12607;GM0569;1405;1487;1591;1814;1584;6118;8677;4428;1165;0;0;1630;11200;15440;     8.3;    11.4;3030;     1.3;     1.9;     4.8
12633;GM0571;;;;;;;;;;;;;;;;;;;;
12659;GM0170;;;;;;;;;;;;;;;;;;;;
12685;GM0818;;;;;;;;;;;;;;;;;;;;
12711;GM0104;;;;;;;;;;;;;;;;;;;;
12737;GM0121;;;;;;;;;;;;;;;;;;;;
12763;GM0267;2494;2661;2798;2858;2161;9837;11738;5997;1763;0;11160;14450;10420;6280;    22.9;    16.8;4400;     0.7;     5.0;    14.8
12789;GM0268;8390;8223;7728;10158;21830;49504;43058;20649;6408;62810;73890;19230;19360;660;   101.1;    81.0;13385;     0.6;    12.7;    76.6
12815;GM1930;4152;4525;4406;4905;4726;20442;25470;12519;3448;30020;27890;10940;9260;6480;    20.0;    38.1;4655;     0.6;     8.1;    20.5
12841;GM1970;;;;;;;;;;;;;;;;;;;;
12867;GM1695;283;304;353;360;298;1430;2317;1518;451;0;0;0;0;7310;     1.9;     3.5;870;     1.1;     1.4;     5.5
12893;GM1699;1498;1774;2007;2034;1220;5983;9642;6177;2035;0;700;7460;10650;13560;     8.9;    13.7;2645;     1.1;     3.1;     8.1
12919;GM0529;;;;;;;;;;;;;;;;;;;;
12945;GM0171;2673;2938;3140;3258;2402;11187;13081;6145;1801;0;6380;10200;6830;23220;    22.9;    18.9;4810;     1.0;     4.0;     6.9
12971;GM0575;1133;1363;1381;1460;1344;5878;7859;4396;1242;980;15350;5250;3000;1470;    12.3;    11.7;2890;     0.5;     5.5;    45.7
12997;GM0576;765;841;903;1102;859;3836;4891;2628;780;0;6120;5150;1330;4010;     6.7;     7.3;1690;     0.8;     4.6;    17.1
13023;GM0577;;;;;;;;;;;;;;;;;;;;
13049;GM0120;;;;;;;;;;;;;;;;;;;;
13075;GM0820;1070;1118;1307;1405;1005;4305;7014;4535;1260;0;5180;9030;4600;4210;     6.5;     9.9;2380;     0.8;     5.7;    19.1
13101;GM0302;1611;1647;1709;1859;1578;5960;7354;3970;1426;0;0;11390;6990;8730;    12.0;    10.6;2590;     0.8;     5.0;    18.7
13127;GM0951;566;657;707;756;697;2995;4761;3062;1000;0;0;20;7110;8080;     5.2;     6.8;1275;     0.9;     2.3;     7.8
13153;GM0429;;;;;;;;;;;;;;;;;;;;
13179;GM0122;;;;;;;;;;;;;;;;;;;;
13205;GM0579;1307;1471;1529;1550;1039;5219;6889;3530;1353;0;17190;4450;2240;10;     6.0;    10.2;1795;     0.6;     6.1;    28.7
13231;GM0823;816;923;1048;1255;993;3708;5983;2910;922;0;0;5090;4000;9470;    10.5;     7.5;2110;     1.1;     2.0;    10.6
13257;GM0824;1107;1364;1514;1617;1256;5310;7841;4504;1619;0;3890;9140;9760;3350;     9.6;    11.1;3085;     0.7;     5.0;    25.9
13283;GM1895;1532;1776;2063;2191;1796;7655;11987;6899;2176;0;5380;7180;8990;16520;    13.0;    17.8;2660;     0.9;     3.9;    11.5
13309;GM0269;1352;1492;1486;1569;1325;5315;6729;3184;1052;0;0;6950;7070;9480;     7.4;     9.1;2015;     0.8;     3.1;     3.1
13335;GM0173;1441;1877;2013;1961;1535;6938;9046;5406;1698;1580;12630;8830;7450;1420;    18.2;    13.8;2580;     0.7;     7.7;    24.3
13361;GM0174;;;;;;;;;;;;;;;;;;;;
13387;GM1773;816;929;1097;1194;943;3569;5719;2852;904;0;0;0;9040;8980;     4.8;     7.4;1505;     1.1;     1.5;     6.8
13413;GM0175;873;1020;1070;1130;821;3766;5162;2890;898;0;0;3070;5500;9050;     6.5;     7.2;1710;     1.0;     2.7;     9.9
13439;GM0881;311;315;392;487;342;1562;2674;1365;409;0;0;0;4450;3410;     0.6;     3.5;515;     0.6;     2.5;     6.9
13465;GM1586;1333;1464;1820;2138;1490;6031;9156;4793;1447;0;0;10420;10210;9040;    16.0;    12.2;2660;     0.8;     3.1;     6.4
13491;GM0825;;;;;;;;;;;;;;;;;;;;
13517;GM0692;;;;;;;;;;;;;;;;;;;;
13543;GM0123;;;;;;;;;;;;;;;;;;;;
13569;GM0826;2693;2787;2974;3335;2787;12141;16395;9399;2636;3190;24510;13890;7620;5940;    27.4;    24.4;4960;     0.6;     6.5;    33.2
13595;GM0580;;;;;;;;;;;;;;;;;;;;
13621;GM0085;1138;1271;1423;1585;1120;5244;7756;4464;1458;0;0;1520;9230;14700;     7.6;    11.1;2225;     1.0;     2.0;     5.8
13647;GM0431;486;499;564;658;502;2079;3014;1487;446;0;0;6180;2630;920;     3.0;     4.1;925;     0.6;     6.9;     9.9
13673;GM0176;;;;;;;;;;;;;;;;;;;;
13699;GM0432;527;578;740;788;679;2459;3364;1900;491;0;0;0;7330;4200;     4.5;     4.7;1225;     0.8;     2.5;     4.0
13725;GM0086;1326;1681;1903;2045;1489;5948;9216;4624;1521;0;0;770;9290;19700;     8.1;    12.4;2720;     0.9;     1.9;     2.8
13751;GM0828;4444;4612;5048;5873;5091;21207;27000;13538;4138;9930;27830;18620;14460;20110;    39.9;    39.4;7995;     0.7;     8.8;    31.8
13777;GM0829;;;;;;;;;;;;;;;;;;;;
13803;GM0831;;;;;;;;;;;;;;;;;;;;
13829;GM0584;1286;1409;1505;1633;1204;5377;6967;3754;1166;0;9790;9250;4760;510;    10.5;    10.1;2090;     0.8;     5.1;    22.1
13855;GM1509;1641;1959;2257;2602;1998;7731;12359;6833;2140;0;0;6020;21710;11790;    15.3;    16.9;3280;     0.8;     3.8;     6.1
13881;GM0830;;;;;;;;;;;;;;;;;;;;
13907;GM0437;718;746;885;868;614;2791;4120;2091;663;1590;1430;3990;5900;590;    17.0;     5.9;1970;     0.7;     3.8;    20.8
13933;GM0644;;;;;;;;;;;;;;;;;;;;
13959;GM0589;538;589;623;659;567;2207;2953;1573;471;0;0;3480;4440;2260;     3.3;     4.2;1275;     0.9;     1.7;     4.9
13985;GM1734;2561;2846;3096;3360;2182;10316;14282;6992;1846;0;5230;8250;21610;12390;    20.2;    19.3;4365;     0.7;     2.6;     7.1
14011;GM0590;1580;1811;1902;2054;1702;7293;8975;5306;1641;5590;17220;5950;3480;30;    14.3;    14.0;2325;     0.6;     5.0;    14.9
14037;GM1894;1814;2087;2433;2614;2320;9356;13449;7180;2059;0;0;5840;20220;17250;    16.7;    17.9;3660;     0.8;     3.1;     8.0
14063;GM0124;;;;;;;;;;;;;;;;;;;;
14089;GM0765;604;639;601;736;629;2677;3667;2102;590;0;0;0;5820;6420;     2.6;     5.5;680;     0.8;     1.6;     3.8
14115;GM0594;;;;;;;;;;;;;;;;;;;;
14141;GM1926;3048;3792;4234;3797;2792;12523;15691;5811;1946;0;30590;16180;5250;1620;    15.3;    20.4;4470;     0.7;     4.2;    15.0
14167;GM0832;;;;;;;;;;;;;;;;;;;;
14193;GM0439;3612;4018;4421;4945;4569;18658;24322;11474;3964;27600;41320;9620;1360;90;    25.6;    35.5;5575;     0.6;    10.3;    35.8
14219;GM0833;;;;;;;;;;;;;;;;;;;;
14245;GM0273;1276;1447;1547;1607;1444;5386;6755;3599;1252;0;3190;10020;4930;6180;     8.7;     9.6;2635;     0.8;     6.5;    15.9
14271;GM0177;1792;1950;2208;2386;1968;7505;11509;5861;1979;0;1120;8200;11410;16430;    14.6;    15.3;3045;     1.0;     3.1;     9.5
14297;GM0834;;;;;;;;;;;;;;;;;;;;
14323;GM0835;;;;;;;;;;;;;;;;;;;;
14349;GM0595;;;;;;;;;;;;;;;;;;;;
14375;GM1661;;;;;;;;;;;;;;;;;;;;
14401;GM0703;1558;1623;1592;1500;1435;5509;5585;2726;1027;0;0;1410;11460;9690;     8.5;     8.9;2005;     0.6;     1.2;     5.3
14427;GM0274;1223;1558;1826;1751;1141;5614;9690;6139;2396;0;0;14220;12940;4180;     9.9;    14.3;3005;     0.7;     2.9;     8.9
14453;GM0339;385;353;376;369;322;1286;1311;640;133;0;0;0;3070;2100;     4.4;     1.9;685;     0.8;     1.1;     4.0
14479;GM0836;;;;;;;;;;;;;;;;;;;;
14505;GM1667;700;740;729;693;689;3148;3888;1954;499;0;0;1500;6250;5300;     3.4;     5.4;1350;     0.7;     2.1;     6.2
14531;GM0275;1811;2098;2246;2539;2157;8784;12588;7937;3367;3750;15520;12750;6960;4550;    16.4;    20.2;3285;     0.5;     6.1;    13.4
14557;GM0340;1065;1200;1317;1302;1002;4241;5506;3149;1034;0;1460;7220;5690;5450;     5.7;     8.1;1905;     0.7;     3.2;     8.5
14583;GM0597;2189;2334;2253;2500;2532;9919;13014;8070;2978;2360;29140;10110;1450;2730;    20.8;    20.5;3690;     0.6;     5.8;    20.8
14609;GM0837;;;;;;;;;;;;;;;;;;;;
14635;GM0602;;;;;;;;;;;;;;;;;;;;
14661;GM0196;;;;;;;;;;;;;;;;;;;;
14687;GM1672;;;;;;;;;;;;;;;;;;;;
14713;GM0841;;;;;;;;;;;;;;;;;;;;
14739;GM0178;;;;;;;;;;;;;;;;;;;;
14765;GM1742;2436;2596;2720;2680;2274;8775;9704;5061;1851;0;11830;8570;12620;5090;    20.7;    14.1;3110;     0.7;     5.5;    16.2
14791;GM0603;3162;2743;2310;2292;2375;13916;13804;8102;3504;42070;6330;2260;1520;20;    30.9;    25.2;4475;     0.6;    18.2;    69.0
14817;GM0125;;;;;;;;;;;;;;;;;;;;
14843;GM1669;793;907;950;1102;911;4035;6746;4125;1159;0;0;0;5690;15040;     4.3;     9.2;1485;     0.9;     2.1;     2.7
14869;GM0957;2742;2949;2821;3175;2949;14445;16934;8974;2772;8770;15790;10190;18080;4930;    40.3;    27.3;4610;     0.7;     9.6;    43.2
14895;GM1670;;;;;;;;;;;;;;;;;;;;
14921;GM0126;;;;;;;;;;;;;;;;;;;;
14947;GM0736;2019;2241;2644;2937;2246;8802;13963;6729;2039;0;6830;10550;18200;8040;    14.3;    18.5;5225;     0.8;     3.2;    12.0
14973;GM1674;3691;3941;4077;4631;4298;17344;22922;12257;3839;13000;32790;13900;10270;7040;    39.5;    34.3;6130;     0.7;     7.4;    29.0
14999;GM0838;;;;;;;;;;;;;;;;;;;;
15025;GM0839;;;;;;;;;;;;;;;;;;;;
15051;GM0276;;;;;;;;;;;;;;;;;;;;
15077;GM0599;36724;34996;31702;35494;50183;194084;158382;71384;25763;445860;124140;45190;18250;5270;   401.0;   301.9;58260;     0.5;    25.9;   145.5
15103;GM0600;;;;;;;;;;;;;;;;;;;;
15129;GM0277;67;95;122;102;48;222;501;295;123;0;40;680;560;300;     0.4;     0.6;185;     0.7;     8.2;    15.8
15155;GM0840;914;930;993;1194;1121;4661;7680;3932;976;0;0;5010;10310;7080;     4.6;     9.6;2295;     0.8;     3.7;     7.7
15181;GM0127;;;;;;;;;;;;;;;;;;;;
15207;GM0128;;;;;;;;;;;;;;;;;;;;
15233;GM0278;;;;;;;;;;;;;;;;;;;;
15259;GM0704;;;;;;;;;;;;;;;;;;;;
15285;GM0604;;;;;;;;;;;;;;;;;;;;
15311;GM0441;1885;2493;2787;2979;2413;9344;13664;8594;2220;0;8250;6640;8870;22620;    18.3;    20.1;4660;     0.9;     3.6;    12.8
15337;GM0039;;;;;;;;;;;;;;;;;;;;
15363;GM0458;;;;;;;;;;;;;;;;;;;;
15389;GM0279;632;673;596;691;604;2285;2453;1407;410;0;0;4390;4740;620;     3.7;     3.9;935;     0.6;     2.3;     5.8
15415;GM0606;4163;4226;4090;4482;4894;21126;21544;9937;3445;55050;17830;4660;280;90;    34.4;    36.0;5895;     0.5;    15.6;    46.3
15441;GM0088;26;33;40;41;45;189;296;195;67;0;0;0;0;930;     0.5;     0.5;120;     0.5;     1.0;     4.5
15467;GM0844;;;;;;;;;;;;;;;;;;;;
15493;GM0962;528;614;631;698;592;2491;4056;2519;782;0;150;260;5400;7100;     2.4;     5.6;945;     0.7;     4.8;    11.4
15519;GM0607;;;;;;;;;;;;;;;;;;;;
15545;GM0129;;;;;;;;;;;;;;;;;;;;
15571;GM0608;;;;;;;;;;;;;;;;;;;;
15597;GM0444;;;;;;;;;;;;;;;;;;;;
15623;GM1676;1444;1571;1763;1953;1497;6411;10143;6628;2277;0;0;5670;7240;20780;    11.6;    15.2;3875;     1.1;     2.3;    12.0
15649;GM0964;;;;;;;;;;;;;;;;;;;;
15675;GM0965;409;457;523;552;444;2110;3397;2054;615;0;0;0;8780;1780;     1.7;     4.8;655;     0.9;     2.4;     9.8
15701;GM1702;521;498;684;829;623;2252;3792;1688;690;0;0;0;2220;9360;     3.4;     4.6;1300;     1.2;     1.6;     3.3
15727;GM0845;1357;1610;1747;1971;1275;5842;8791;4584;1496;0;0;1520;18740;8420;     6.8;    11.7;2980;     0.7;     3.0;     5.0
15753;GM0846;;;;;;;;;;;;;;;;;;;;
15779;GM0968;;;;;;;;;;;;;;;;;;;;
15805;GM1883;3648;4014;4210;5040;4910;20613;29148;15836;5537;6170;33520;21810;22380;9070;    54.2;    44.3;6750;     0.7;     6.9;    31.3
15831;GM0051;;;;;;;;;;;;;;;;;;;;
15857;GM0130;;;;;;;;;;;;;;;;;;;;
15883;GM0610;1571;1523;1479;1527;1382;6224;6412;3504;1398;0;14160;5700;4980;180;    15.7;    10.3;1860;     0.6;     4.9;     8.6
15909;GM0040;;;;;;;;;;;;;;;;;;;;
15935;GM1714;956;974;1088;1163;1052;4630;7200;4793;1670;0;0;0;10120;13410;     8.2;    11.2;2695;     1.3;     1.7;    11.4
15961;GM1698;;;;;;;;;;;;;;;;;;;;
15987;GM0090;2784;3131;3350;3763;2858;12663;15915;8637;2788;2530;19310;12580;8840;12640;    30.7;    24.5;4110;     0.7;     8.8;    22.8
16013;GM0131;;;;;;;;;;;;;;;;;;;;
16039;GM0091;;;;;;;;;;;;;;;;;;;;
16065;GM0342;2170;2597;2856;3037;2174;9427;13541;7641;2646;620;20800;14020;8310;2340;    16.0;    20.0;4980;     0.7;     7.7;    23.5
16091;GM0847;959;825;1002;1204;1159;4298;5941;2816;916;0;1010;5030;5010;8080;     7.5;     7.9;2195;     0.8;     3.0;     4.7
16117;GM0848;896;951;1046;1064;741;3512;4721;2609;1213;0;0;0;14830;1930;    13.8;     6.9;1745;     0.7;     4.4;    12.2
16143;GM0612;;;;;;;;;;;;;;;;;;;;
16169;GM0849;;;;;;;;;;;;;;;;;;;;
16195;GM1691;;;;;;;;;;;;;;;;;;;;
16221;GM0179;;;;;;;;;;;;;;;;;;;;
16247;GM0037;1369;1605;1755;1969;1576;6569;9497;5797;2121;0;3710;6450;10130;11960;    11.0;    14.5;2300;     0.9;     4.8;    10.6
16273;GM0850;;;;;;;;;;;;;;;;;;;;
16299;GM0180;1219;1283;1309;1399;1097;3870;4092;1934;594;0;0;70;6290;10440;     7.5;     5.8;1720;     1.1;     2.5;     3.3
16325;GM0532;1175;1166;1304;1431;1172;4853;6031;3770;768;0;3240;12020;6050;350;     5.3;     9.0;1455;     0.6;     4.8;     6.6
16351;GM0851;1048;1124;1204;1397;1633;5735;7566;3936;1138;0;0;7410;9670;7700;     6.3;    11.1;2105;     0.9;     2.6;     7.8
16377;GM0280;;;;;;;;;;;;;;;;;;;;
16403;GM0181;;;;;;;;;;;;;;;;;;;;
16429;GM1708;2169;2254;2596;2917;2132;9219;13039;7106;2336;0;3920;5910;9930;24020;    12.3;    18.9;4255;     0.9;     3.3;    10.3
16455;GM0971;868;960;1281;1359;1074;4915;8022;5084;1424;0;0;12540;7970;4480;     8.5;    11.4;1640;     0.8;     5.2;    10.4
16481;GM1904;3430;3927;3783;3811;3060;14327;19499;9949;2727;0;23300;16190;11070;13960;    20.4;    27.5;6565;     0.7;     5.0;    16.9
16507;GM0973;;;;;;;;;;;;;;;;;;;;
16533;GM0617;357;368;453;552;472;1758;2921;1507;405;0;0;0;6280;2510;     2.3;     3.8;910;     1.2;     1.7;     5.8
16559;GM1900;4304;4985;5707;5967;4262;18568;26428;14848;4525;2370;12530;15150;16260;43280;    34.4;    39.1;8875;     0.9;     4.2;    15.6
16585;GM0974;;;;;;;;;;;;;;;;;;;;
16611;GM0975;;;;;;;;;;;;;;;;;;;;
16637;GM0976;;;;;;;;;;;;;;;;;;;;
16663;GM0853;;;;;;;;;;;;;;;;;;;;
16689;GM0715;2423;2610;2804;3074;2429;11545;16206;9989;3360;0;6540;14550;12040;21300;    27.4;    25.1;3790;     0.9;     3.3;    12.7
16715;GM0093;195;197;215;322;483;1022;1365;864;243;0;0;0;0;4910;     2.1;     2.2;710;     0.8;     1.6;    14.7
16741;GM0854;;;;;;;;;;;;;;;;;;;;
16767;GM0448;522;613;695;828;629;2638;4372;2640;647;0;0;4020;2580;6980;     6.4;     6.3;2055;     1.2;     2.7;    12.2
16793;GM1525;1785;1982;2306;2568;1901;7986;11208;5036;1812;0;21470;8690;4950;1470;    15.0;    15.3;3240;     0.6;     4.1;    12.8
16819;GM0716;1452;1631;1628;1732;1526;5744;7100;3640;1130;0;0;1310;11640;12640;     6.7;    10.3;2250;     0.7;     1.5;     2.2
16845;GM0977;;;;;;;;;;;;;;;;;;;;
16871;GM0281;2044;2250;2509;2833;2427;10096;12068;5669;1569;0;16340;14080;8710;2330;    23.6;    17.8;3375;     0.9;     5.8;    24.6
16897;GM0855;10520;10946;11102;13234;19815;58491;55869;27226;8318;104210;53980;30930;22630;3770;   134.4;    96.5;16425;     0.6;    14.4;    55.0
16923;GM0183;980;1144;1476;1682;1307;4316;6415;2910;983;0;0;0;4540;16670;     6.9;     8.0;2185;     1.1;     1.2;     4.4
16949;GM1700;1834;2164;2393;2404;1797;7606;9530;4796;1379;0;0;2050;18350;13500;    10.9;    13.0;2510;     0.7;     3.5;     4.4
16975;GM1730;1712;1967;2017;2132;1068;6243;10406;5716;2201;0;0;4480;9750;19240;     9.7;    14.0;2820;     0.9;     2.4;     8.8
17001;GM0737;1518;1819;1970;2099;1497;6532;9154;5515;1766;0;0;2630;9710;19540;     7.2;    13.3;2440;     0.8;     2.6;     3.6
17027;GM0282;;;;;;;;;;;;;;;;;;;;
17053;GM0856;2064;2173;2430;2582;2190;9841;11816;6609;2020;850;17040;9220;7600;7020;    27.6;    18.1;4140;     0.6;     9.1;    28.4
17079;GM0857;;;;;;;;;;;;;;;;;;;;
17105;GM0450;695;758;879;922;763;3074;4073;1830;526;0;0;10020;3210;280;     3.8;     5.6;1125;     0.6;     3.0;     8.9
17131;GM0451;1498;1673;1791;1927;1528;6927;8694;3961;1446;0;13900;8330;5850;1360;    11.3;    12.7;2775;     0.8;     5.7;    24.1
17157;GM0184;1978;2022;1864;1784;1656;5407;3907;1517;389;0;0;14490;5810;220;     9.3;     6.1;1720;     0.5;     5.8;    10.1
17183;GM0344;22018;20128;17756;17371;36613;124869;73000;26915;8813;224240;80730;29750;9800;2970;   291.8;   154.6;35425;     0.5;    22.8;   167.8
17209;GM1581;2307;2595;3026;3342;2210;9193;14872;8397;3372;0;4690;7360;26390;10870;    20.0;    20.9;5470;     0.7;     3.3;    13.4
