GemeenteCode;ProvincieCode;GemeeenteNaam;
757;PV30;Boxtel;
758;PV30;Breda;
762;PV30;Deurne;
765;PV20;Pekela;
766;PV30;Dongen;
770;PV30;Eersel;
772;PV30;Eindhoven;
777;PV30;Etten-Leur;
779;PV30;Geertruidenberg;
784;PV30;Gilze en Rijen;
785;PV30;Goirle;
786;PV30;Grave;
788;PV30;Haaren;
794;PV30;Helmond;
796;PV30;'s-Hertogenbosch;
797;PV30;Heusden;
798;PV30;Hilvarenbeek;
809;PV30;Loon op Zand;
815;PV30;Mill en Sint Hubert;
820;PV30;Nuenen; Gerwen en Nederwetten
823;PV30;Oirschot;
824;PV30;Oisterwijk;
826;PV30;Oosterhout;
828;PV30;Oss;
840;PV30;Rucphen;
845;PV30;Sint-Michielsgestel;
847;PV30;Someren;
848;PV30;Son en Breugel;
851;PV30;Steenbergen;
852;PV27;Waterland;
855;PV30;Tilburg;
856;PV30;Uden;
858;PV30;Valkenswaard;
861;PV30;Veldhoven;
865;PV30;Vught;
866;PV30;Waalre;
867;PV30;Waalwijk;
870;PV30;Werkendam;
873;PV30;Woensdrecht;
874;PV30;Woudrichem;
879;PV30;Zundert;
880;PV27;Wormerland;
881;PV31;Onderbanken;
882;PV31;Landgraaf;
888;PV31;Beek;
889;PV31;Beesel;
893;PV31;Bergen (L.);
899;PV31;Brunssum;
907;PV31;Gennep;
917;PV31;Heerlen;
928;PV31;Kerkrade;
935;PV31;Maastricht;
938;PV31;Meerssen;
944;PV31;Mook en Middelaar;
946;PV31;Nederweert;
951;PV31;Nuth;
957;PV31;Roermond;
962;PV31;Schinnen;
965;PV31;Simpelveld;
971;PV31;Stein;
981;PV31;Vaals;
983;PV31;Venlo;
984;PV31;Venray;
986;PV31;Voerendaal;
988;PV31;Weert;
994;PV31;Valkenburg aan de Geul;
995;PV24;Lelystad;
1507;PV31;Horst aan de Maas;
1509;PV25;Oude IJsselstreek;
1525;PV28;Teylingen;
1581;PV26;Utrechtse Heuvelrug;
1586;PV25;Oost Gelre;
1598;PV27;Koggenland;
1621;PV28;Lansingerland;
1640;PV31;Leudal;
1641;PV31;Maasgouw;
1651;PV20;Eemsmond;
1652;PV30;Gemert-Bakel;
1655;PV30;Halderberge;
1658;PV30;Heeze-Leende;
1659;PV30;Laarbeek;
1663;PV20;De Marne;
1667;PV30;Reusel-De Mierden;
1669;PV31;Roerdalen;
1674;PV30;Roosendaal;
1676;PV29;Schouwen-Duiveland;
1680;PV22;Aa en Hunze;
1681;PV22;Borger-Odoorn;
1684;PV30;Cuijk;
1685;PV30;Landerd;
1690;PV22;De Wolden;
1695;PV29;Noord-Beveland;
1696;PV27;Wijdemeren;
1699;PV22;Noordenveld;
1700;PV23;Twenterand;
1701;PV22;Westerveld;
1702;PV30;Sint Anthonis;
1705;PV25;Lingewaard;
1706;PV30;Cranendonck;
1708;PV23;Steenwijkerland;
1709;PV30;Moerdijk;
1711;PV31;Echt-Susteren;
1714;PV29;Sluis;
1719;PV30;Drimmelen;
1721;PV30;Bernheze;
1722;PV21;Ferwerderadiel;
1723;PV30;Alphen-Chaam;
1724;PV30;Bergeijk;
1728;PV30;Bladel;
1729;PV31;Gulpen-Wittem;
1730;PV22;Tynaarlo;
1731;PV22;Midden-Drenthe;
1734;PV25;Overbetuwe;
1735;PV23;Hof van Twente;
1740;PV25;Neder-Betuwe;
1742;PV23;Rijssen-Holten;
1771;PV30;Geldrop-Mierlo;
1773;PV23;Olst-Wijhe;
1774;PV23;Dinkelland;
1783;PV28;Westland;
1842;PV28;Midden-Delfland;
1859;PV25;Berkelland;
1876;PV25;Bronckhorst;
1883;PV31;Sittard-Geleen;
1884;PV28;Kaag en Braassem;
1891;PV21;Dantumadiel;
